parameter,mn,sd,rsd,li,ls
V1_pop,21.762903711108457,4.7057365682085024e-6,2.1622742216180218e-7,21.762894577997642,21.76291284872391
V2_pop,16.429038153472167,3.8565858345081843,0.23474203410338562,9.823857175463749,25.05899424221734
Cl_pop,13.493652974485665,0.8947005654038991,0.06630528939017732,11.775851296867259,15.355013566259409
Q_pop,66.69936989397574,600.3374191314581,9.000646034374011,15.368041931656165,102.69384328017102
omega_V1,5.6231779890160056e-8,3.6197991521295176e-8,0.6437283612932454,1.6932517489810727e-8,1.472269939456007e-7
omega_V2,0.7098271530816711,0.16996999874691565,0.23945265831125406,0.4145082335301069,1.1124368728840817
omega_Cl,0.24902214107899984,0.03178655926473469,0.1276455142783899,0.18603146971456233,0.3069442854856249
omega_Q,1.5859513280875157,0.8728691602133231,0.5503757553933941,0.004022072916346691,3.4647259292305037
a,1.48325324149344,0.26342915275054907,0.17760227679348306,0.9326721638008615,1.9531829036045358
b,0.057188169333459944,0.015664272273778486,0.27390756613385003,0.027122328066265827,0.08961907148305129
k10,0.6200299896052283,0.04111125924992586,0.06630527545304916,0.5410974175539828,0.7055590906298113
k12,3.0648193148873455,27.585351653407017,9.000645329860477,0.7061575709583616,4.71875603706521
k21,0.8689528975615474,0.2194675756314268,0.2525655605123085,0.525340747789743,1.3547383561197803
alpha,4.380007594968099,27.596512959802656,6.300562809869664,1.8318162333569,6.185533627882014
beta,0.17379460708602223,0.06052916502734156,0.34827988072945054,0.06714002186602523,0.3090915440838026
t_alpha,0.22661149274603531,0.06759697245505578,0.29829454647656384,0.1120621973167366,0.3783941367078816
t_beta,5.839763563074218,32.88935581796921,5.631967024475786,2.2425313205289314,10.323910957731117
A,70.34890625881532,6.903716594335664,0.09813537923300067,54.93691078053449,82.0843998106649
B,21.550595138106814,6.903716396243844,0.3203492224693302,9.815080057796115,36.9626144742998
