parameter,mn,sd,rsd,li,ls,t0,LI,LS
V1_pop,31.276208014560606,6.055247476724096,0.19360555070822805,19.5111718447659,44.25981828971266,24.4880792664887,4.716340243264739,29.4649866882115
V2_pop,25.212200268679528,8.114447504254343,0.32184606729206067,13.842138151772097,44.048855328503805,12.5909432525621,-18.866968823379604,11.339748353352103
Cl_pop,19.116592531225695,2.4577148502843524,0.12856448377344637,15.604341716430586,24.763405325406843,13.5204370958388,2.2774688662707554,11.436532475247013
Q_pop,23.4,0,0,23.4,23.4,23.4,23.4,23.4
omega_V1,0.6208651651340836,0.22054453336583074,0.355221303675817,0.26639794711899206,1.1247617205648988,0.270468849829714,-0.5838240209054708,0.2745397525404359
omega_V2,0.8491148052476584,0.2981204449449728,0.3510955681169888,0.28762198016488577,1.4425812950467092,0.92308509733317,0.40358889961963085,1.5585482145014542
omega_Cl,0.47196145539603285,0.090056686676839,0.19081364727395062,0.28954655395220646,0.6476405070237916,0.259737972041313,-0.12816456294116563,0.22992939013041952
omega_Q,1.22524002507963,0.3285475201608194,0.2681495163688166,0.6241250807296346,1.8676828172523448,0.980248165154246,0.09281351305614716,1.3363712495788573
a,1.3977567676101723,0.22099825882096114,0.15810923899071155,0.972918697704681,1.7965974201909023,1.5384519070819,1.2803063939728978,2.103985116459119
b,0.008279663674815965,0.014700331088676879,1.775474423362206,2.22044604925031e-16,0.046819859219805346,0.0430582967538002,0.03929673428779505,0.08611659350760018
k10,0.6285300413854594,0.12699462354325416,0.20205020473376548,0.48444272586891857,0.9825726613574706,0.5521232167171709,0.12167377207687124,0.6198037075654232
k12,0.7784541443803505,0.16831948948153586,0.21622274182317847,0.5286964340906588,1.1993655592286077,0.9555669820140729,0.7117684047995381,1.382437529937487
k21,0.8150325363810581,0.2191895390622665,0.2689334833619295,0.47081560449768867,1.2960213793063762,1.0738224154165383,0.8516234515267005,1.676829226335388
alpha,1.967901521472453,0.3035854831640202,0.15426863582933106,1.5144889403461539,2.748776796044287,2.3266952811781803,1.9046137663120737,3.1389016220102066
beta,0.25411520067441506,0.044463324520982596,0.1749731004008342,0.17380807222995337,0.35453617381779196,0.2548173329696015,0.15509849212141108,0.33582659370924967
t_alpha,0.3598897655619007,0.05161399678830403,0.14341612829061254,0.2521674216177271,0.4576773247399083,0.2979105971319772,0.13814386952404611,0.3436537726462273
t_beta,2.8145682596432264,0.5242517691983566,0.1862636542575132,1.9550843209020816,3.9880149277702284,2.7201728096048883,1.4523306914395482,3.485261298307695
A,45.36230310792514,14.85370987945093,0.32744611410296476,24.03775717220804,82.83200568024655,49.38762123389716,15.943236787547761,74.73748529558628
B,21.172239146805676,4.921957541886791,0.2324722249620623,12.215309403583191,31.030251869072483,32.28477039123727,33.539288913402046,52.35423137889134
